MARCAS,,tipo_producto,Detalle
VITTAMAX,,PEINE,PEINE CON EXPULSADOR CLEAN
CAT LITTER,,PEINE,PEINE ACERO DESLANADOR DOBLE GRANDE
MONELLO,,COMEDERO,COMEDERO AVE 2 AGUJEROS CON GANCHO
FORMULA NATURAL,,COLLAR,COLLAR CINTA N°1
KELLER,,COLLAR,COLLAR CINTA N°2
EQUILIBRIO,,DESTORCEDOR,DESTORCEDOR NACIONAL 80MM
RI-MAR,,PLATO,PLATO PLASTICO GATO ALTO
LAGER,,JUGUETE,JUGUETE PELUCHE CACTUS
FROST,,CADENA,CADENA ATAR TIPO VICTOR 45 GRANDE
NEOCIDOL,,BOZAL,BOZAL TELA LILI TALLE XL
DOMINAL PIPETA,,COLLAR,COLLAR REFORZADO CHICO
SAN JOSE,,LIMPIEZA,CREOLINA CONCENTRADA 1 LTRO
DOMINAL SHAMPOO,,ESTETICA,CORTA UÑA MAS LIMA GRANDE
PATE PRIMOGATO,,CADENA,CADENA ATAR TIPO VICTOR 35 MEDIANA
MAXINE,,COLLAR,COLLAR CINTA N°3
PRIMOCAO,,PEINE,PEINE CARDINA CHICA
MATISSE,,COLLAR,COLLAR FIGURAS M
REX,,PLATO,PLATO SIMPLE MENPLAST N°2
REALCAN,,ARNES,ARNES REGULABLE S THERAPY
PROCAO,,ARNES,ARNES REGULABLE XL THERAPY
PROT 21,,ARNES,ARNES REGULABLE XXL THERAPY
KONGO GOLD,,BEBEDERO,BEBEDERO AVE LARGO
NEXGARD,,ARROZ,ARROZ ENTERO
NEXGARD SPECTRA,,TOALLITAS HUMEDAS,TOALLITAS HUMEDAS PARA OJOS POR 120
CRIOLLA,,BAÑO SECO,BAÑO SECO ESPUMA YOJI
OLD PRINCE,,ARNES,ARNES SMOKING LILI S
NATURAL DOG,,COLLAR,COLLAR POR 6 SILICONA VARIOS DISEÑOS
REVOLUTION,,JUGUETE,JUGUETE PELOTA ESCAMAS GRANDE
PRIMOGATO,,SNAK,HUESO DE LONJA 2-3 PULGADAS
APPRYL,,JUGUETE,JUGUETE PELOTA CORAZON Y HUESO
RAVAL,,SNAK,PALITOS DE CEREALES COLORES KG
JIMO,,CONTENEDOR,CONTENEDOR RACION BLANCO
CAT CHOW,,PEINE,PEINE CARDINA COLORES CHICA
SACHET PRIMOGATO,,PRETAL,PRETAL PASTEL CHICO
FORTACHON,,CORTA UÑA,CORTA UÑA MAS LIMA CON AGARRE CHICO
CREAMY SNACK,,PEINE,PEINE CARDINA GRANDE
SALSA GRAN PLUS,,JUGUETE,JUGUETE CUERDA MANCUERNA PUNTITOS
MAX VITA,,HUESO NATURAL,HUESO NATURAL 6-7 PULGADAS
AGRITEC,,ARNES,ARNES CONEJO TALLE L
SALSA ORIGENS,,CORREA,CORREA EXTENSIBLE BLISTER 5MTS
DOMINAL COLLAR,,CAMA,CAMA BRILLANTE A LA NOCHE
UP CLEAN,,CAMA,CAMA REDONDA PELOS S 40CM
SMART,,MOSQUETON,MOSQUETON NACIONAL 90MM
PELUSA,,COLLAR,COLLAR CINTA N°4
SACHET PRIMOCAO,,PECES,"PECES PELLETS 40% PROT 1,8 MM"
CURAMIC,,PALA,PALA SANITARIA CHIQUITA OFERTA
MIKDOG,,PECES,PECES ESCAMAS
SUPRALINE,,MOSQUETON,MOSQUETON CON ROSCA 60MM
BIOCLIN,,MOSQUETON,MOSQUETON NACIONAL 110MM
CONNIE,,JUGUETE,JUGUETE GATO ESFERA CON RATON
ASTRO,,MOSQUETON,MOSQUETON OVALADO 80MM
ORGANICAT,,JUGUETE,JUGUETE PACK DE 3 PELOTAS
PATE PRIMOCAO,,PALA,PALA SANITARIA MANGO GATITO
BIRBO,,PALITO,PALITO FINO DE COLAGENO 5-8'' (125)
FELIX,,COLLAR,COLLAR REFORZADO GRANDE
VORAZ,,MOSQUETON,MOSQUETON CON ROSCA 100MM
NERO,,COLLAR,COLLAR REFORZADO CHICO CON DESTORCEDOR
RI-MART,,JUGUETE,JUGUETE CUERDA DOBLE GRANDE
EXCELLENT,,PEINE,PEINE MASAJEADOR PARA BAÑO
SELECT,,BANDEJA,BANDEJA SANITARIA GATO
PREVICOX,,BEBEDERO,BEBEDERO PICAFLOR SIMPLE 220ml
DOMINAL PIPETA MAX,,MOSQUETON,MOSQUETON NACIONAL 40MM
CANGO,,COLLAR,COLLAR POR 12 BRILLOS CON CORAZON
ORIGENS,,FLIT,FLIT FUMICIPER
MOLINO STA. ROSA,,ARNES,ARNES PECHERA LILI
DOGUI,,ARNES,ARNES REFLECTIVO DOBLE ENGANCHE M
DOG CHOW,,ARNES,ARNES REFLECTIVO DOBLE ENGANCHE XL
MAX,,BANDEJA,BANDEJA SANITARIA ALTA CON PALA
TALCOBAL,,BANDEJA,BANDEJA GATO MURANO
VITALFLEX,,BANDEJA,BANDEJA SIMPLE ORNAMENTAL
STORM,,BOZAL,BOZAL CUERO REFORZADO M
KONGO,,BOZAL,BOZAL CUERO REFORZADO XL
THE GOLDEN CHOICE,,CAMA,CAMA PLASTICO GATO MAS JUGUETE
VETYS,,JUGUETE,JUGUETE CUERDA ENLAZADOS
MAGNUS,,BEBEDERO,BEBEDERO CON SOPORTE 500ML
BIOFRESH,,COLLAR,COLLAR POR 12 ESTRELLAS
PEDIGREE,,PEINE,PEINE CARDINA COLORES MEDIANA
ECOPET,,PEINE,PEINE MADERA DOBLE S
N&D,,BOLSAS,BOLSAS POR 6
PREMIUM,,COLLAR,COLLAR Y CORREA ESTAMPADO CHICO
BIO BOTANICA,,COLLAR,COLLAR Y CORREA ESTAMPADO MEDIANO
PAWISE,,COLLAR,COLLAR DE AHORQUE PERRO 3 MM*60 CM
DENTAL,,COLLAR,COLLAR DE AHORQUE DORADO 4X60
PIPICAT,,COLLAR,"COLLAR DE AHORQUE DORADO 4,5X70"
LAMPO,,COLLAR,COLLAR DE AHORQUE PERRO DORADO 2 MM*40 CM
DR. CARACOL,,COLLAR,"COLLAR DE AHORQUE PERRO DORADO 2,5 MM*45 CM"
CHARRUA,,COLLAR,COLLAR DE AHORQUE DORADO 5X80
ZAMORITOS,,COLLAR,COLLAR DE AHORQUE PERRO DORADO 3 MM*50 CM
GENERICO,,COLLAR,COLLAR DE AHORQUE PERRO 5 MM*80 CM
,,COLLAR,COLLAR DISEÑO LILI M
,,COLLAR,COLLAR DISEÑO LILI S
,,CORREA,CORREA PIXEL 12MM GRANDE
,,CORREA,CORREA PIXEL 6MM CHICA
,,CORREA,CORREA PIXEL 8MM MEDIANA
,,PLATO,PLATO CON BOTELLA ANTI HORMIGAS
,,JUGUETE,JUGUETE GATO RATON CUERDA PELUCHE
,,JUGUETE,JUGUETE PELOTA MACIZA ROJA 6CM
,,PEINE,PEINE MASAJE DISEÑO PANDA
,,PERFUME,PERFUME MASCOTA LIMON
,,JAULA,JAULA PAJARO DOMO CHICO
,,JAULA,JAULA PAJARO RECTANGULAR SIMPLE
,,JAULA,JAULA PAJAROTECHO CURVO
,,JUGUETE,JUGUETE BOOMERANG MACIZO PASTEL
,,JUGUETE,JUGUETE FRESBI GOMA GRANDE
,,JUGUETE,JUGUETE GATO 3 PISOS
,,JUGUETE,JUGUETE GATO RATON ALPILLERA
,,JUGUETE,JUGUETE GATO RATON COLA BICOLOR
,,JUGUETE,JUGUETE GATO VARA PELOTAS A RALLAS
,,JUGUETE,JUGUETE GATO VARA PELUCHE REDONDO
,,JUGUETE,JUGUETE HIGIENE HORQUETA
,,JUGUETE,JUGUETE HIGIENE HUESO CURVO
,,JUGUETE,JUGUETE HUESO MULTISONIDO GIGWI
,,JUGUETE,"JUGUETE PELOTA MACIZA ROJA 8,5CM"
,,JUGUETE,JUGUETE PELOTA CASCABEL TRICOLOR
,,JUGUETE,JUGUETE PELUCHE LEON MULTI AGARRE GIGWI
,,JUGUETE,JUGUETE PELUCHE RAYAS
,,KIT PASTO,KIT PASTO RECTANGULAR
,,MOSQUETON,MOSQUETON NACIONAL 60MM
,,MOSQUETON,MOSQUETON NACIONAL 70MM
,,MOSQUETON,MOSQUETON NACIONAL 80MM
,,MOSQUETON,MOSQUETON AUTOMATICO 100 C/DEST
,,MOSQUETON,MOSQUETON AUTOMATICO 60 C/DEST
,,MOSQUETON,MOSQUETON AUTOMATICO 80 C/DEST
,,PEINE,PEINE CARDINA CON EXPULSOR
,,PEINE,PEINE CARDINA MANGO MADERA S
,,PEINE,PEINE CARDINA PLASTICO S NEGRO
,,PEINE,PEINE CON EXPULSOR OVALADO FINO
,,PEINE,PEINE CON EXPULSOR OVALADO GRUESO
,,PEINE,PEINE CON EXPULSOR RECTANGULAR FINO
,,PEINE,PEINE HUELLA FINO CON EXPULSADOR
,,PERFUMADOR,PERFUMADOR DONAS
,,BEBEDERO,BEBEDERO CON BOTELLA
,,BEBEDERO,BEBEDERO DISPENSADOR
,,BEBEDERO,BEBEDERO FUENTE ECO CUADRADA ELECTRICA
,,PLATO,PLATO SIMPLE MENPLAST N°3
,,CORREA,CORREA CON MANGO DE GOMA
,,BEBEDERO,BEBEDERO FUENTE CANILLA ELECTRICA
,,BEBEDERO,BEBEDERO FUENTE ELECTRICA DOBLE CON DISPENSADOR DE ALIMENTO
,,PRETAL,PRETAL ESTRELLA CHICO
,,PRETAL,PRETAL ESTRELLA GRANDE
,,PRETAL,PRETAL INGLES DISEÑO M
,,PRETAL,PRETAL INGLES DISEÑO S
,,PRETAL,PRETAL PARA GATO LILI
,,PRETAL,PRETAL PASTEL GRANDE
,,PRETAL,PRETAL PASTEL MEDIANO
,,RODILLO,RODILLO MANITO MAS REPUESTO
,,RODILLO,RODILLO SACA PELUSA CHOMCHOM
,,RODILLO,RODILLO SACA PELUSA CDEONET
,,PLATO,PLATO BEBEDERO CON BOTELLA CARA GATO
,,CORREA,CORREA HELLO PET L
,,COLLAR,COLLAR POR 12 BANDANA
,,PLATO,PLATO ACERO INOX 10 CM
,,DESTORCEDOR,DESTORCEDOR NACIONAL 90MM
,,MOSQUETON,MOSQUETON OVALADO 60MM
,,JUGUETE,JUGUETE CUERDA GRANDE
,,CORREA,CORREA CINTA MOSQ SIMPLE Nº 2
,,ARNES,ARNES MALLA LILI M
,,ARNES,ARNES NEOPRENO M
,,JUGUETE,JUGUETE PELUCHE PIZZA
,,VIRUTA,"VIRUTA HAMSTER, CUISES Y CONEJO"
,,CADENA DE PASEO,CADENA DE PASEO PERRO 4 MM*100 CM
,,COLLAR,COLLAR REFORZADO GRANDE CON DESTORCEDOR
,,CADENA,CADENA ATAR TIPO VICTOR 20 CHICA
,,RATICIDA,RATICIDA MOUSE TRAP-PEGA PEGA
,,BEBEDERO,BEBEDERO CONEJO
,,PALA,PALA SANITARIA GATO PROFUNDA
,,PLATO,PLATO CARA GATO GRANDE
,,COLLAR ISABELINO,COLLAR ISABELINO N°1+ MAS GRANDE
,,COLLAR ISABELINO,COLLAR ISABELINO N°1
,,COLLAR ISABELINO,COLLAR ISABELINO N°2+
,,COLLAR ISABELINO,COLLAR ISABELINO N°2
,,COLLAR ISABELINO,COLLAR ISABELINO N°3
,,COLLAR ISABELINO,COLLAR ISABELINO N°4
,,COLLAR ISABELINO,COLLAR ISABELINO N°5
,,COLLAR ISABELINO,COLLAR ISABELINO N°6
,,COLLAR ISABELINO,COLLAR ISABELINO N°7 MAS CHICO
,,BOZAL,BOZAL SATIVA N°5
,,PEINE,PEINE VAPOR MASCOTAS
,,BOZAL,BOZAL SATIVA N°1
,,MOCHILA,MOCHILA CARA DE GATO
,,JUGUETE,JUGUETE CUERDA + ACCESORIO DE GOMA
,,PLATO,PLATO DOBLE CHICO
,,JUGUETE,JUGUETE GATO PULPO PELUCHE
,,BOZAL,BOZAL SATIVA N°3
,,COLLAR,COLLAR POR 12 GATO REFLECTIVO
,,MATE MADERA,MATE MADERA 2 ATALA
,,JUGUETE,JUGUETE GATO TORTUGA MOVIMIENTO
,,ARNES,ARNES REGULABLE L THERAPY
,,PERFUME,PERFUME MASCOTA MANZANA ROJA
,,JUGUETE,JUGUETE GATO RATON POR 12
,,PLATO,PLATO CARA DE GATO INCLINADO
,,CAMA,CAMA CAMA RECTANGULAT OHANA S
,,MOCHILA,MOCHILA CARA GATO
,,COLCHONETA,COLCHONETA CON ALMOHADA S
,,HUESO DE LONJA,HUESO DE LONJA 5-6 PULGADAS
,,CEPILLO,CEPILLO REMOVEDOR DE PELOS GATO
,,DESTORCEDOR,DESTORCEDOR NACIONAL 60MM
,,PLATO,PLATO CARA DE GATO DOBLE
,,HUESO NATURAL,HUESO NATURAL 8-9 PULGADAS
,,SANITARIO,SANITARIO CERRADO CON BANDEJA
,,PLATO,PLATO DOBLE PASTEL MEDIANO
,,PAÑALES,PAÑALES DR. PADS 90*60 30 UNIDADES
,,JUGUETE,JUGUETE GATO RATON EQUILIBRISTA
,,BEBEDERO,BEBEDERO DE PICAFLOR MAXXIMO SIMPLE
,,MATA CUCARACHAS,MATA CUCARACHAS GEL JERINGA
,,PALA,PALA SANITARIA GRANDE
,,JUGUETE,JUGUETE CUERDA MANCUERNA GRANDE
,,ROPA,ROPA ALGODÓN TALLE L
,,JUGUETE,JUGUETE MORDILLO TRIPLE GIGANTE
,,COLLAR,COLLAR BANDANA N°3
,,CORREA,CORREA DOBLE AGARRE